account_id,balance,original_balance,open_date,due_date,account_type,status
A001,2000,5000,2022-01-15,2024-10-15,credit_card,overdue
A002,1000,3000,2023-03-10,2024-09-30,loan,current
A003,4000,7000,2021-07-22,2024-08-20,credit_card,overdue
east,33173,26375,many,draw,consumer,skin
against,38337,65450,various,deal,station,city
mission,71517,59685,charge,at,son,world
let,2488,71627,nice,car,time,present
perform,6202,8354,lawyer,year,left,attention
professor,79427,50414,carry,bar,poor,arm
by,93723,62460,son,again,method,allow
person,11328,26663,miss,service,condition,evening
full,2558,27327,field,character,article,product
how,81517,86373,fish,view,machine,assume
mind,61508,38718,yard,level,factor,store
task,77274,88412,manage,quite,also,food
green,72163,10593,model,require,though,yard
seem,95586,82848,race,painting,later,enjoy
forget,86913,5208,other,loss,serious,example
increase,49013,74210,idea,one,wonder,economy
present,95737,18653,economy,thus,its,partner
day,78415,93665,opportunity,office,peace,wonder
leader,28613,90378,imagine,author,major,player
religious,92867,13410,work,hotel,music,senior
during,66139,63187,list,phone,few,space
help,41647,82163,brother,model,glass,group
support,4304,6457,toward,company,how,well
answer,81678,50680,produce,prove,well,explain
deep,51878,82400,return,chair,again,to
off,13214,90327,front,source,change,total
risk,93106,8211,economy,near,follow,explain
catch,30392,88388,world,article,book,across
reach,69977,70779,food,thus,six,minute
why,74925,31535,return,her,page,want
into,33817,21503,point,responsibility,range,for
rock,98419,64460,recently,to,within,nothing
work,86843,47509,particular,management,how,pass
catch,73127,66737,new,weight,entire,lose
produce,47401,50271,eight,reveal,grow,air
board,71661,44646,almost,themselves,begin,which
some,38806,83631,statement,social,however,simply
security,63495,3011,article,industry,under,total
conference,71916,22032,red,public,ground,early
project,42317,79801,light,cut,it,sometimes
less,65167,69758,million,response,moment,many
hope,99719,8665,wind,interview,form,at
past,45458,34479,sign,feeling,special,career
decide,55678,32570,check,newspaper,but,child
white,16157,2125,effort,leader,evening,goal
maintain,80167,11601,bring,each,red,full
specific,19125,40073,similar,rock,son,hold
rise,37358,35119,more,sing,house,each
store,32447,52117,indeed,party,difficult,body
appear,46189,94205,participant,event,hotel,way
option,49903,54545,another,ten,day,region
have,93416,27540,spend,unit,population,change
three,41089,74725,anyone,enter,effort,training
heart,19487,26476,study,must,year,south
season,34681,68990,strategy,I,people,provide
because,35713,98449,according,simple,six,risk
understand,81418,90632,century,drop,improve,particularly
model,63079,30639,somebody,house,commercial,fire
friend,55498,10658,government,I,rich,guess
sort,79064,47354,within,road,new,main
more,71087,45275,stage,lay,big,should
include,15163,16990,always,around,and,describe
end,41456,65535,born,industry,low,debate
indeed,29701,69144,consumer,market,letter,many
little,96302,54700,piece,day,increase,race
time,44645,11611,religious,from,bank,however
choice,10191,19383,my,event,tree,place
poor,37369,20543,line,best,rich,edge
cover,43551,1121,second,place,down,best
concern,83115,35978,effort,lose,writer,hope
lot,47833,8220,back,now,meeting,best
firm,36954,57323,her,choose,base,training
condition,17683,57168,mother,street,tough,listen
skin,54217,90137,know,now,size,understand
professional,85605,41608,station,speak,cover,test
make,66789,88875,drug,behavior,or,to
number,80239,51034,medical,fill,blue,executive
thought,51097,50791,trial,indicate,point,act
always,31116,46465,each,protect,positive,attorney
sell,34532,95241,vote,feeling,if,tell
world,59794,45871,loss,radio,tax,north
tree,834,81327,certain,him,per,later
speak,57259,17424,act,nice,among,concern
stuff,28877,36376,hair,yeah,six,cause
carry,59538,4638,reflect,force,side,cause
strategy,87496,97304,bad,site,father,law
education,80031,65607,section,strategy,yard,face
risk,33251,79725,expect,moment,difference,action
learn,58815,12724,today,international,which,class
you,349,48904,lose,piece,nature,of
add,36265,10076,thus,admit,relate,full
crime,55196,37980,buy,risk,generation,like
fire,43135,46055,action,tough,situation,tend
together,12488,71033,cultural,push,impact,certain
eight,94931,59777,sit,effect,save,exist
blue,22609,3795,measure,stage,way,need
church,13920,32126,star,daughter,mission,soldier
consider,86118,22716,movie,my,laugh,learn
already,99451,31227,entire,place,interesting,when
should,94979,13967,gun,party,who,adult
their,99789,35186,staff,number,future,decision
their,28010,15249,different,who,point,consider
situation,3162,18884,court,team,physical,front
save,57045,57030,music,employee,early,machine
forget,4890,49878,return,series,financial,east
general,248,95135,exactly,very,west,wear
candidate,31768,97612,by,worker,my,plant
strong,99013,48327,traditional,star,order,pretty
financial,89979,52591,deep,edge,energy,as
any,68299,17871,future,behind,green,business
possible,38697,59288,mention,market,Democrat,memory
current,19620,1706,song,hit,we,animal
establish,4243,24758,tell,push,way,look
student,72306,11503,there,early,matter,scene
necessary,30707,90048,standard,size,find,agreement
but,98557,42861,south,vote,law,country
economic,91904,1858,teach,lawyer,level,direction
clear,32485,42236,act,maybe,tree,fact
media,36066,76460,region,stand,sure,interview
couple,6158,26540,bank,several,something,relationship
likely,490,49267,their,available,article,safe
successful,31069,42929,art,stage,sit,true
prepare,2486,78913,concern,people,its,myself
ahead,47527,6514,public,foreign,series,start
program,74575,10125,phone,stay,along,happen
in,33231,79886,way,add,image,food
admit,41704,53182,as,happy,strategy,return
young,40093,18858,television,low,class,same
executive,52813,66180,none,toward,third,social
event,49664,74136,kitchen,industry,hair,they
civil,1054,92098,perhaps,outside,yard,safe
week,30368,92873,study,difficult,push,see
wall,91207,94637,statement,idea,able,either
oil,50701,76744,various,human,somebody,then
forget,71460,55623,career,law,enough,administration
weight,87136,76844,catch,to,nor,make
garden,5476,81026,Mr,break,focus,look
long,76907,20356,cost,prevent,night,agency
every,16340,72365,toward,course,nation,fund
fight,60424,91160,collection,until,spring,policy
politics,96653,65124,too,free,among,if
like,49879,19757,door,recent,study,against
lawyer,40247,7867,clear,president,audience,dinner
partner,52597,22058,term,fund,short,agree
hard,47747,16347,build,fight,back,class
tonight,43331,93005,nor,bad,training,scientist
letter,30365,41019,treat,measure,happy,paper
power,27048,33247,across,learn,almost,so
sea,21601,66118,chance,mean,hold,girl
mind,55976,68899,make,talk,politics,interest
onto,34366,37576,perhaps,push,show,yet
water,77085,93084,partner,pretty,past,quality
myself,46059,46643,prevent,enjoy,man,spring
very,86066,63453,same,upon,method,police
personal,89507,57032,finally,any,crime,send
country,76598,6508,like,city,couple,address
learn,87960,83981,off,drug,tell,within
author,4646,64284,identify,environmental,responsibility,behavior
able,13116,97023,officer,assume,yard,matter
economic,52752,3345,hair,interview,ability,somebody
support,47426,406,free,live,join,safe
fire,80423,4404,coach,collection,up,current
central,34896,70921,style,response,after,admit
degree,20811,57912,create,animal,administration,within
recent,28786,17490,weight,various,read,various
information,69896,16899,environmental,sing,save,too
possible,4800,68846,goal,claim,out,fear
begin,95961,52356,will,ready,strategy,away
religious,98026,16758,let,play,up,note
young,8867,53741,scientist,new,Mrs,morning
small,78142,36415,group,live,of,throughout
forward,55215,71506,total,main,next,food
really,72627,98000,world,stuff,huge,itself
service,95700,5854,market,attention,son,forward
act,83909,81648,ever,source,last,plan
sometimes,10863,43430,over,Republican,agreement,special
choice,37944,30852,notice,bit,room,according
officer,30555,85470,ahead,hand,wait,similar
agree,80010,59558,take,focus,card,weight
analysis,48987,20992,film,drop,onto,action
street,22476,16115,green,guess,whatever,group
job,43374,80233,ball,into,effect,activity
vote,90051,80237,forward,direction,discussion,hold
hotel,28684,88016,dark,hit,add,follow
six,40563,21900,idea,minute,art,difference
cost,377,2869,low,practice,none,town
be,76629,95206,health,war,officer,all
space,54217,66940,wide,cost,thousand,charge
outside,39838,4411,which,here,newspaper,central
something,23030,16284,ever,reality,carry,thousand
amount,78254,75762,rule,TV,shoulder,real
hand,3,27642,mouth,conference,give,personal
management,91170,12201,any,them,leader,peace
deep,31213,39398,city,accept,from,assume
word,15543,3473,over,nor,light,crime
the,42536,55585,generation,I,time,treat
address,79194,50508,away,herself,building,seven
already,48655,2118,agreement,police,better,protect
eat,56348,26681,bill,save,sing,again
remain,76616,79491,buy,commercial,recognize,team
for,86583,209,discover,dinner,bank,consider
camera,71414,83460,thing,notice,type,risk
nation,99365,39561,land,walk,parent,real
however,23362,23113,cover,security,benefit,million
himself,90096,38176,candidate,analysis,military,lay
pull,10495,5288,policy,stage,about,energy
past,36989,24115,billion,cultural,training,north
figure,69653,827,certainly,life,traditional,stock
respond,34107,7032,recently,stop,assume,week
enjoy,26404,33928,type,sell,watch,should
news,38696,20391,middle,understand,exist,fast
collection,98853,23461,success,technology,indicate,enough
husband,27194,89638,rest,vote,group,range
ground,27948,2575,part,scientist,role,important
radio,19258,19557,really,stock,section,party
situation,27391,81771,speech,plant,visit,catch
computer,41696,41137,situation,beyond,five,color
blood,25250,55469,free,along,president,share
all,12696,37379,structure,point,away,concern
author,24465,53073,use,above,about,social
career,13779,18974,price,ground,nearly,network
rich,1446,83204,different,herself,section,often
point,67950,76327,government,any,benefit,hospital
fill,85454,42841,receive,TV,bank,dinner
decade,82444,52475,wide,chair,role,training
car,48779,39711,a,while,field,compare
room,52104,36956,attorney,line,everyone,many
discuss,34775,55967,middle,listen,none,camera
least,62308,18162,news,music,high,represent
tax,97690,61501,business,health,line,cultural
page,23102,61496,wonder,some,training,open
pick,89435,72735,offer,bag,card,so
head,17635,45643,color,movement,opportunity,though
modern,26102,2038,just,character,yes,analysis
painting,80428,53961,season,more,rather,more
something,32971,8436,scene,already,structure,reality
religious,48237,77742,gun,increase,north,bank
standard,91073,53778,hair,authority,want,say
town,19699,42871,attack,field,ten,both
watch,23663,70563,top,career,fish,rich
measure,7528,84977,just,war,hold,matter
study,937,93990,ready,major,today,by
now,61310,84023,they,south,grow,society
it,16693,85413,true,police,table,improve
agree,47069,50828,they,of,company,sound
drive,68172,75022,especially,condition,make,year
current,71216,91758,drop,send,else,himself
with,83670,88466,organization,action,consumer,tough
how,62121,40428,look,bad,official,child
big,17939,37459,both,throw,test,quality
same,81892,66734,may,hair,job,fund
how,91524,11258,mother,attention,later,away
race,99483,37282,goal,arrive,although,hundred
effect,60971,39430,arrive,trip,they,black
thank,80408,65349,beyond,simply,performance,serve
certainly,48315,20592,professor,even,young,view
social,50559,20548,surface,citizen,night,never
push,24086,42287,I,eye,plan,table
say,46362,41363,operation,evidence,rate,try
miss,85922,92255,along,western,development,eat
eye,50503,45138,research,security,walk,assume
edge,2293,24395,education,enough,keep,fund
piece,3985,82576,eat,Republican,list,coach
difficult,4813,43656,sound,reason,than,event
interesting,5829,17904,part,kitchen,hope,sister
industry,37061,5455,every,style,because,anything
last,81094,4409,share,alone,discuss,its
reduce,156,96563,laugh,in,region,culture
assume,87417,15066,attack,listen,through,join
science,10311,31115,they,hope,weight,coach
agency,80104,95207,magazine,miss,late,most
we,65055,9245,speak,pressure,project,the
oil,79363,93100,himself,move,amount,true
stuff,10301,44691,market,shoulder,firm,art
half,6478,26252,pretty,buy,region,attention
various,35937,23516,night,talk,full,could
growth,57678,73365,sign,idea,practice,street
into,6295,87885,coach,fear,attention,blood
meeting,14896,13477,buy,particularly,sea,popular
responsibility,26010,56803,despite,summer,skill,difference
fire,8820,44437,spend,series,group,under
send,42462,41852,account,development,increase,describe
ever,44833,374,exactly,subject,sign,can
finish,17502,14531,start,similar,garden,well
bed,95241,78129,main,indeed,standard,with
traditional,44214,99818,party,several,simple,north
better,92584,54136,program,source,use,as
can,53440,97445,cut,bed,want,decade
story,73949,50683,yet,century,think,story
project,58008,88954,social,return,quality,rate
now,64603,33497,technology,maybe,through,across
else,66839,15569,trade,reason,those,themselves
yes,56790,12778,just,teacher,organization,moment
senior,65103,86549,concern,science,push,animal
create,71170,56371,possible,hot,wall,movement
group,74470,4882,political,former,ok,tree
gas,48462,61199,herself,even,modern,level
wrong,84629,63338,media,today,apply,food
charge,56062,19935,sea,activity,two,trip
budget,35865,70612,will,level,court,score
minute,22121,24615,picture,lead,hot,watch
unit,43799,37318,poor,represent,clear,father
position,85214,87909,bring,school,mention,national
evening,6242,43748,mean,along,local,body
defense,12921,60163,make,avoid,hotel,himself
call,88285,67074,middle,economy,instead,turn
trip,13742,61436,partner,technology,suddenly,over
rule,20799,12839,few,believe,amount,whose
sit,4629,99877,possible,visit,instead,lawyer
break,80379,38569,recently,actually,view,other
possible,70994,51658,much,language,southern,Republican
community,11324,67481,land,box,wind,indeed
